Code,Year,MilEx(% of GDP),Unempl(Male),GDP % growth,GDPpCap,Unempl,Inflation,GDP,Conflict,Conf_Code,Stage,Country,Description
ISR,1970-1972,,,10.73081749,10511.8183,,11.40908802,32258683534,Yom Kippur War,YKW,Pre,Israel,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
ISR,1973,,,3.342543115,11423.28869,,25.10947421,37445540316,Yom Kippur War,YKW,During,Israel,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
ISR,1974-1976,,,3.824818533,11888.01304,,31.71875671,41073256933,Yom Kippur War,YKW,Post,Israel,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
EGY,1970-1972,,,3.689441429,569.7587253,,2.386661066,20940350683,Yom Kippur War,YKW,Pre,Egypt,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
EGY,1973,,,0.705246822,562.6074104,,11.49721374,21609350618,Yom Kippur War,YKW,During,Egypt,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
EGY,1974-1976,,,8.68397308,613.0862174,,11.36295943,24642588177,Yom Kippur War,YKW,Post,Egypt,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
SYR,1970-1972,,,10.37859727,644.277,,0.773913945,4259161050,Yom Kippur War,YKW,Pre,Syria,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
SYR,1973,,,-8.545176544,655.3972429,,16.84408999,4623408750,Yom Kippur War,YKW,During,Syria,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
SYR,1974-1976,,,18.20451897,890.4115183,,15.46331924,6736545262,Yom Kippur War,YKW,Post,Syria,"On October 6, 1973, hoping to win back territory lost to Israel during the third Arab-Israeli war, in 1967, Egyptian and Syrian forces launched a coordinated attack against Israel on Yom Kippur, the holiest day in the Jewish calendar. Taking the Israeli Defense Forces by surprise, Egyptian troops swept deep into the Sinai Peninsula, while Syria struggled to throw occupying Israeli troops out of the Golan Heights. Israel counterattacked and recaptured the Golan Heights. A cease-fire went into effect on October 25, 1973.[8]"
TUR,1971-1973,,,5.418272436,2272.618597,,16.60266066,84263459501,Turkish Invasion of Cyprus,TCYP,Pre,Turkey,"The coup on Cyprus in July 1974 which overthrew Archbishop Makarios immediately sparked tensions on the island.  Turkish-Cypriots feared the new Greek-backed leader, Nicos Sampson, would seek unification with Greece against their wishes. When talks between the two sides broke down, Turkey invaded northern Cyprus.  The island was split into two and the continued failure to reach a settlement in the following months polarised the island's population: Greek-Cypriots fled to the south and the Turkish community to the north.  Cyprus is still a divided island.[9]"
